CMDLINE D:\Programs\Anaconda\Bin\python.exe MemoryTest.py
MEM 0.660156 1584624374.8951
MEM 11.648438 1584624374.9960
MEM 18.117188 1584624375.0968
MEM 23.132812 1584624375.1975
MEM 27.449219 1584624375.2982
MEM 31.285156 1584624375.3989
MEM 36.109375 1584624375.4997
MEM 38.015625 1584624375.6006
MEM 41.132812 1584624375.7006
MEM 43.671875 1584624375.8011
MEM 46.605469 1584624375.9014
MEM 48.851562 1584624376.0017
MEM 48.960938 1584624376.1024
MEM 49.187500 1584624376.2033
MEM 49.238281 1584624376.3042
MEM 58.160156 1584624376.4051
MEM 68.519531 1584624376.5060
MEM 75.886719 1584624376.6069
MEM 84.222656 1584624376.7077
MEM 90.117188 1584624376.8079
MEM 93.726562 1584624376.9084
MEM 96.105469 1584624377.0087
MEM 97.863281 1584624377.1088
