CMDLINE D:\Programs\Anaconda\Bin\envs\MyEnvNN_torch_MRI\python.exe MemoryTest.py
MEM 0.402344 1584624635.1645
MEM 11.859375 1584624635.2655
MEM 18.253906 1584624635.3662
MEM 23.148438 1584624635.4669
MEM 27.425781 1584624635.5672
MEM 30.972656 1584624635.6674
MEM 35.371094 1584624635.7681
MEM 38.710938 1584624635.8688
MEM 41.164062 1584624635.9698
MEM 44.695312 1584624636.0702
MEM 49.289062 1584624636.1708
MEM 52.480469 1584624636.2708
MEM 74.921875 1584624636.3711
MEM 90.273438 1584624636.4711
MEM 99.468750 1584624636.5712
MEM 102.312500 1584624636.6721
MEM 104.363281 1584624636.7722
MEM 106.421875 1584624636.8723
MEM 109.457031 1584624636.9723
MEM 117.437500 1584624637.0731
MEM 123.445312 1584624637.1733
MEM 127.730469 1584624637.2734
MEM 130.640625 1584624637.3740
MEM 140.167969 1584624637.4742
MEM 141.898438 1584624637.5744
MEM 145.550781 1584624637.6751
MEM 149.527344 1584624637.7757
MEM 152.992188 1584624637.8758
MEM 155.308594 1584624637.9766
MEM 159.660156 1584624638.0766
MEM 162.402344 1584624638.1766
MEM 162.757812 1584624638.2771
MEM 163.015625 1584624638.3778
MEM 163.363281 1584624638.4784
MEM 179.359375 1584624638.5791
MEM 292.230469 1584624638.6795
MEM 402.230469 1584624638.7802
MEM 513.035156 1584624638.8808
MEM 623.648438 1584624638.9808
MEM 734.343750 1584624639.0808
MEM 691.062500 1584624639.1816
MEM 875.578125 1584624639.2823
MEM 1102.269531 1584624639.3830
MEM 1321.015625 1584624639.4838
MEM 1546.398438 1584624639.5845
MEM 1609.820312 1584624639.6852
MEM 695.011719 1584624639.7860
MEM 739.765625 1584624639.8867
MEM 785.804688 1584624639.9875
MEM 833.785156 1584624640.0881
MEM 874.914062 1584624640.1889
MEM 920.707031 1584624640.2899
MEM 966.515625 1584624640.3903
MEM 1008.089844 1584624640.4911
MEM 1048.691406 1584624640.5918
MEM 1087.847656 1584624640.6925
MEM 1125.363281 1584624640.7933
MEM 1164.007812 1584624640.8940
MEM 1202.324219 1584624640.9947
MEM 691.074219 1584624641.0955
MEM 700.566406 1584624641.1955
MEM 707.750000 1584624641.2960
MEM 721.085938 1584624641.3966
MEM 733.429688 1584624641.4967
MEM 747.429688 1584624641.5968
MEM 760.480469 1584624641.6976
MEM 773.914062 1584624641.7978
MEM 787.554688 1584624641.8980
MEM 801.566406 1584624641.9986
MEM 815.453125 1584624642.0987
MEM 833.664062 1584624642.1987
MEM 851.593750 1584624642.2994
MEM 870.304688 1584624642.4001
MEM 889.371094 1584624642.5009
MEM 906.824219 1584624642.6016
MEM 924.175781 1584624642.7023
MEM 941.082031 1584624642.8031
MEM 954.769531 1584624642.9034
MEM 954.769531 1584624643.0041
MEM 954.769531 1584624643.1048
MEM 954.769531 1584624643.2055
MEM 954.769531 1584624643.3063
MEM 954.769531 1584624643.4070
MEM 954.769531 1584624643.5077
MEM 954.769531 1584624643.6085
MEM 1037.507812 1584624643.7092
MEM 872.109375 1584624643.8099
MEM 1020.699219 1584624643.9107
MEM 1020.699219 1584624644.0114
MEM 1020.699219 1584624644.1121
MEM 1020.699219 1584624644.2129
MEM 1020.699219 1584624644.3136
MEM 1020.699219 1584624644.4143
MEM 1020.699219 1584624644.5150
MEM 1020.699219 1584624644.6158
MEM 1020.699219 1584624644.7165
MEM 1020.699219 1584624644.8172
MEM 976.304688 1584624644.9179
MEM 1020.699219 1584624645.0187
MEM 1020.699219 1584624645.1194
MEM 1020.699219 1584624645.2201
MEM 1020.699219 1584624645.3209
MEM 1020.699219 1584624645.4216
MEM 1020.699219 1584624645.5223
MEM 994.613281 1584624645.6231
MEM 1020.699219 1584624645.7238
MEM 1020.699219 1584624645.8245
MEM 1020.699219 1584624645.9252
MEM 1020.699219 1584624646.0260
MEM 1020.699219 1584624646.1267
MEM 1020.699219 1584624646.2274
MEM 997.300781 1584624646.3282
MEM 1020.699219 1584624646.4289
MEM 1020.699219 1584624646.5296
MEM 1020.699219 1584624646.6304
MEM 838.804688 1584624646.7311
MEM 859.894531 1584624646.8318
MEM 881.128906 1584624646.9326
MEM 902.042969 1584624647.0333
MEM 922.343750 1584624647.1340
MEM 943.058594 1584624647.2347
MEM 822.937500 1584624647.3355
MEM 852.800781 1584624647.4362
MEM 1086.660156 1584624647.5369
MEM 1315.625000 1584624647.6377
MEM 1549.375000 1584624647.7384
MEM 1784.093750 1584624647.8391
MEM 1374.277344 1584624647.9399
MEM 1603.070312 1584624648.0406
MEM 1839.589844 1584624648.1413
MEM 1357.238281 1584624648.2421
MEM 1376.390625 1584624648.3428
MEM 1394.804688 1584624648.4435
MEM 1412.875000 1584624648.5442
MEM 1430.179688 1584624648.6450
MEM 1447.117188 1584624648.7457
MEM 1463.757812 1584624648.8464
MEM 1479.914062 1584624648.9472
MEM 1495.761719 1584624649.0479
MEM 1511.500000 1584624649.1486
MEM 1527.105469 1584624649.2494
MEM 1542.539062 1584624649.3501
MEM 1557.898438 1584624649.4508
MEM 1573.234375 1584624649.5516
MEM 1588.648438 1584624649.6523
MEM 1604.191406 1584624649.7530
MEM 1619.867188 1584624649.8537
MEM 1635.765625 1584624649.9545
MEM 1651.722656 1584624650.0552
MEM 1667.902344 1584624650.1559
MEM 1684.281250 1584624650.2567
MEM 1700.910156 1584624650.3574
MEM 1717.601562 1584624650.4581
MEM 1734.542969 1584624650.5589
MEM 1751.843750 1584624650.6596
MEM 1769.398438 1584624650.7603
MEM 1787.402344 1584624650.8611
MEM 1806.378906 1584624650.9618
MEM 1825.757812 1584624651.0625
MEM 1845.253906 1584624651.1633
MEM 1865.164062 1584624651.2640
MEM 1358.996094 1584624651.3647
MEM 1130.996094 1584624651.4654
MEM 888.867188 1584624651.5662
MEM 1000.375000 1584624651.6669
MEM 1194.796875 1584624651.7676
MEM 1397.414062 1584624651.8684
MEM 1446.339844 1584624651.9691
MEM 1684.828125 1584624652.0698
MEM 1921.437500 1584624652.1706
MEM 1467.796875 1584624652.2713
MEM 1576.191406 1584624652.3720
MEM 1664.222656 1584624652.4728
MEM 1762.402344 1584624652.5735
MEM 1873.453125 1584624652.6742
MEM 1474.242188 1584624652.7749
MEM 1239.500000 1584624652.8757
MEM 955.746094 1584624652.9764
MEM 1187.585938 1584624653.0771
MEM 1483.976562 1584624653.1779
MEM 1484.089844 1584624653.2786
MEM 1484.089844 1584624653.3793
MEM 1484.089844 1584624653.4801
MEM 1484.089844 1584624653.5808
MEM 1484.089844 1584624653.6815
MEM 1484.089844 1584624653.7823
MEM 1484.089844 1584624653.8830
MEM 1484.089844 1584624653.9838
MEM 1484.089844 1584624654.0844
MEM 1484.089844 1584624654.1852
MEM 1484.089844 1584624654.2859
MEM 1484.089844 1584624654.3866
MEM 1484.089844 1584624654.4874
MEM 1484.089844 1584624654.5881
MEM 1484.089844 1584624654.6888
MEM 1484.089844 1584624654.7896
MEM 1484.089844 1584624654.8903
MEM 1484.089844 1584624654.9910
MEM 1484.089844 1584624655.0918
MEM 1484.089844 1584624655.1925
MEM 1484.089844 1584624655.2932
MEM 1484.089844 1584624655.3939
MEM 1484.089844 1584624655.4947
MEM 1484.089844 1584624655.5954
MEM 1484.093750 1584624655.6961
MEM 1484.093750 1584624655.7969
MEM 1488.562500 1584624655.8976
MEM 1626.046875 1584624655.9983
MEM 1653.273438 1584624656.0991
MEM 1957.019531 1584624656.1998
MEM 2077.355469 1584624656.3005
MEM 2077.355469 1584624656.4013
MEM 2077.355469 1584624656.5020
MEM 2077.355469 1584624656.6027
MEM 2077.355469 1584624656.7034
MEM 2077.355469 1584624656.8042
MEM 2077.355469 1584624656.9049
MEM 2077.355469 1584624657.0056
MEM 2077.355469 1584624657.1064
MEM 2077.355469 1584624657.2071
MEM 2077.355469 1584624657.3078
MEM 2077.355469 1584624657.4086
MEM 2077.355469 1584624657.5093
MEM 2077.355469 1584624657.6100
MEM 2077.355469 1584624657.7108
MEM 2077.355469 1584624657.8115
MEM 2077.355469 1584624657.9122
MEM 2077.355469 1584624658.0130
MEM 2077.355469 1584624658.1137
MEM 2077.355469 1584624658.2144
MEM 2077.355469 1584624658.3151
MEM 2077.355469 1584624658.4159
MEM 2077.355469 1584624658.5166
MEM 2077.355469 1584624658.6173
MEM 2077.359375 1584624658.7181
MEM 2077.359375 1584624658.8188
MEM 2077.359375 1584624658.9195
MEM 2206.281250 1584624659.0203
MEM 2144.890625 1584624659.1212
MEM 2230.148438 1584624659.2220
MEM 2532.582031 1584624659.3227
MEM 2674.449219 1584624659.4234
MEM 2674.460938 1584624659.5241
MEM 2674.531250 1584624659.6249
MEM 2674.550781 1584624659.7256
MEM 2674.683594 1584624659.8263
MEM 2674.695312 1584624659.9270
MEM 2674.695312 1584624660.0278
MEM 2674.722656 1584624660.1285
MEM 2674.777344 1584624660.2292
MEM 2674.792969 1584624660.3299
MEM 2674.796875 1584624660.4307
MEM 2674.796875 1584624660.5314
MEM 2674.796875 1584624660.6321
MEM 2674.796875 1584624660.7329
MEM 2674.796875 1584624660.8336
MEM 2674.796875 1584624660.9343
MEM 2674.796875 1584624661.0351
MEM 2674.796875 1584624661.1358
MEM 2674.796875 1584624661.2365
MEM 2674.796875 1584624661.3373
MEM 2674.796875 1584624661.4380
MEM 2674.796875 1584624661.5388
MEM 2674.796875 1584624661.6394
MEM 2674.796875 1584624661.7402
MEM 2674.796875 1584624661.8409
MEM 2674.796875 1584624661.9416
MEM 2674.796875 1584624662.0424
MEM 2674.796875 1584624662.1431
MEM 2674.796875 1584624662.2439
MEM 2674.796875 1584624662.3446
MEM 2674.796875 1584624662.4453
MEM 2674.796875 1584624662.5457
MEM 2674.796875 1584624662.6458
MEM 2674.796875 1584624662.7465
MEM 2674.796875 1584624662.8472
MEM 2674.796875 1584624662.9480
MEM 2674.804688 1584624663.0487
MEM 2674.808594 1584624663.1494
MEM 2674.824219 1584624663.2502
MEM 2674.824219 1584624663.3509
MEM 2674.824219 1584624663.4516
MEM 2674.824219 1584624663.5523
MEM 2674.824219 1584624663.6531
MEM 2674.824219 1584624663.7538
MEM 2674.824219 1584624663.8546
MEM 2674.824219 1584624663.9553
MEM 2674.824219 1584624664.0560
MEM 2674.824219 1584624664.1568
MEM 2674.824219 1584624664.2575
MEM 2674.824219 1584624664.3582
MEM 2674.824219 1584624664.4589
MEM 2674.824219 1584624664.5596
MEM 2674.824219 1584624664.6604
MEM 2674.824219 1584624664.7611
MEM 2674.824219 1584624664.8618
MEM 2674.824219 1584624664.9626
MEM 2674.824219 1584624665.0633
