CMDLINE E:\Software\Anaconda\envs\MyEnvNN_torch_MRI\python.exe MemoryTest.py
MEM 0.433594 1584630128.6241
MEM 15.406250 1584630128.7335
MEM 23.425781 1584630128.8428
MEM 29.996094 1584630128.9522
MEM 37.414062 1584630129.0615
MEM 43.273438 1584630129.1709
MEM 78.089844 1584630129.2802
MEM 101.257812 1584630129.3913
MEM 105.796875 1584630129.5006
MEM 117.792969 1584630129.6125
MEM 126.257812 1584630129.7218
MEM 139.878906 1584630129.8322
MEM 147.289062 1584630129.9416
MEM 154.281250 1584630130.0509
MEM 160.503906 1584630130.1616
MEM 163.000000 1584630130.2709
MEM 163.578125 1584630130.3813
MEM 188.761719 1584630130.4907
MEM 267.742188 1584630130.6000
MEM 359.109375 1584630130.7094
MEM 453.761719 1584630130.8187
MEM 553.761719 1584630130.9366
MEM 648.761719 1584630131.0460
MEM 741.750000 1584630131.1564
MEM 691.175781 1584630131.2657
MEM 853.285156 1584630131.3751
MEM 1073.378906 1584630131.4844
MEM 1290.140625 1584630131.5938
MEM 1512.378906 1584630131.7031
MEM 1734.671875 1584630131.8125
MEM 699.570312 1584630131.9218
MEM 746.144531 1584630132.0312
MEM 780.152344 1584630132.1472
MEM 821.097656 1584630132.2566
MEM 860.171875 1584630132.3659
MEM 912.187500 1584630132.4753
MEM 958.179688 1584630132.5857
MEM 1009.253906 1584630132.6950
MEM 1068.714844 1584630132.8044
MEM 1127.863281 1584630132.9137
MEM 1187.183594 1584630133.0231
MEM 691.183594 1584630133.1324
MEM 691.324219 1584630133.2418
MEM 693.562500 1584630133.3511
MEM 696.839844 1584630133.4605
MEM 698.449219 1584630133.5698
MEM 702.914062 1584630133.6814
MEM 703.093750 1584630133.7907
MEM 705.457031 1584630133.9012
MEM 710.023438 1584630134.0105
MEM 712.503906 1584630134.1224
MEM 717.234375 1584630134.2328
MEM 719.511719 1584630134.3440
MEM 720.578125 1584630134.4533
MEM 725.304688 1584630134.5638
MEM 726.511719 1584630134.6731
MEM 731.152344 1584630134.7825
MEM 733.425781 1584630134.8918
MEM 733.625000 1584630135.0012
MEM 738.277344 1584630135.1118
MEM 740.660156 1584630135.2212
MEM 742.937500 1584630135.3316
MEM 745.417969 1584630135.4409
MEM 747.757812 1584630135.5503
MEM 750.433594 1584630135.6596
MEM 752.242188 1584630135.7690
MEM 754.761719 1584630135.8783
MEM 759.238281 1584630135.9877
MEM 759.433594 1584630136.0970
MEM 765.816406 1584630136.2064
MEM 766.421875 1584630136.3157
MEM 770.433594 1584630136.4264
MEM 772.824219 1584630136.5357
MEM 774.480469 1584630136.6461
MEM 778.179688 1584630136.7555
MEM 780.363281 1584630136.8648
MEM 780.550781 1584630136.9742
MEM 784.035156 1584630137.0835
MEM 787.429688 1584630137.1929
MEM 787.609375 1584630137.3022
MEM 789.875000 1584630137.4116
MEM 790.449219 1584630137.5209
MEM 793.910156 1584630137.6303
MEM 796.882812 1584630137.7396
MEM 797.421875 1584630137.8506
MEM 800.414062 1584630137.9610
MEM 803.230469 1584630138.0703
MEM 804.054688 1584630138.1797
MEM 807.910156 1584630138.2890
MEM 809.906250 1584630138.3984
MEM 811.578125 1584630138.5077
MEM 813.441406 1584630138.6171
MEM 816.789062 1584630138.7264
MEM 818.046875 1584630138.8358
MEM 822.187500 1584630138.9451
MEM 845.714844 1584630139.0545
MEM 880.851562 1584630139.1650
MEM 915.382812 1584630139.2744
MEM 949.226562 1584630139.3848
MEM 954.878906 1584630139.4954
MEM 954.878906 1584630139.6059
MEM 954.878906 1584630139.7152
MEM 954.878906 1584630139.8246
MEM 954.878906 1584630139.9339
MEM 1010.148438 1584630140.0433
MEM 863.667969 1584630140.1526
MEM 1020.808594 1584630140.2620
MEM 1020.808594 1584630140.3713
MEM 1020.808594 1584630140.4820
MEM 1020.808594 1584630140.5913
MEM 1020.808594 1584630140.7018
MEM 1020.808594 1584630140.8111
MEM 1020.808594 1584630140.9205
MEM 1020.808594 1584630141.0298
MEM 1020.808594 1584630141.1392
MEM 1020.808594 1584630141.2485
MEM 1020.808594 1584630141.3579
MEM 1013.195312 1584630141.4672
MEM 1020.808594 1584630141.5766
MEM 984.835938 1584630141.6859
MEM 1020.808594 1584630141.7953
MEM 955.546875 1584630141.9058
MEM 1020.808594 1584630142.0152
MEM 1020.808594 1584630142.1256
MEM 852.511719 1584630142.2350
MEM 890.421875 1584630142.3443
MEM 930.300781 1584630142.4537
MEM 823.046875 1584630142.5630
MEM 892.386719 1584630142.6724
MEM 1115.636719 1584630142.7817
MEM 1338.761719 1584630142.8911
MEM 1561.585938 1584630143.0004
MEM 1786.199219 1584630143.1098
MEM 1390.500000 1584630143.2203
MEM 1602.328125 1584630143.3296
MEM 1829.105469 1584630143.4400
MEM 1359.570312 1584630143.5494
MEM 1382.253906 1584630143.6587
MEM 1405.109375 1584630143.7681
MEM 1427.367188 1584630143.8774
MEM 1449.332031 1584630143.9868
MEM 1471.035156 1584630144.0961
MEM 1492.136719 1584630144.2055
MEM 1512.964844 1584630144.3148
MEM 1533.671875 1584630144.4255
MEM 1553.925781 1584630144.5348
MEM 1574.078125 1584630144.6442
MEM 1594.203125 1584630144.7535
MEM 1614.523438 1584630144.8639
MEM 1634.859375 1584630144.9732
MEM 1655.292969 1584630145.0826
MEM 1675.937500 1584630145.1919
MEM 1697.035156 1584630145.3013
MEM 1718.546875 1584630145.4106
MEM 1740.453125 1584630145.5200
MEM 1762.660156 1584630145.6293
MEM 1785.640625 1584630145.7387
MEM 1809.859375 1584630145.8480
MEM 1834.527344 1584630145.9585
MEM 1858.445312 1584630146.0678
MEM 1477.656250 1584630146.1782
MEM 1248.656250 1584630146.2876
MEM 888.976562 1584630146.3969
MEM 1028.042969 1584630146.5063
MEM 1253.664062 1584630146.6156
MEM 1478.695312 1584630146.7250
MEM 1549.937500 1584630146.8343
MEM 1781.476562 1584630146.9437
MEM 1521.453125 1584630147.0530
MEM 1545.570312 1584630147.1624
MEM 1657.628906 1584630147.2717
MEM 1782.820312 1584630147.3823
MEM 1924.460938 1584630147.4917
MEM 1455.203125 1584630147.6020
MEM 1020.339844 1584630147.7114
MEM 1097.582031 1584630147.8207
MEM 1432.285156 1584630147.9301
MEM 1484.085938 1584630148.0394
MEM 1484.085938 1584630148.1488
MEM 1484.085938 1584630148.2581
MEM 1484.085938 1584630148.3675
MEM 1484.085938 1584630148.4768
MEM 1484.085938 1584630148.5862
MEM 1484.085938 1584630148.6955
MEM 1484.085938 1584630148.8049
MEM 1484.085938 1584630148.9142
MEM 1484.085938 1584630149.0236
MEM 1484.085938 1584630149.1329
MEM 1484.085938 1584630149.2423
MEM 1484.085938 1584630149.3516
MEM 1484.085938 1584630149.4624
MEM 1484.085938 1584630149.5717
MEM 1484.085938 1584630149.6822
MEM 1484.085938 1584630149.7915
MEM 1484.085938 1584630149.9009
MEM 1484.085938 1584630150.0102
MEM 1484.085938 1584630150.1196
MEM 1484.085938 1584630150.2289
MEM 1484.085938 1584630150.3383
MEM 1484.085938 1584630150.4476
MEM 1484.089844 1584630150.5570
MEM 1484.089844 1584630150.6663
MEM 1538.976562 1584630150.7756
MEM 1550.011719 1584630150.8850
MEM 1852.773438 1584630150.9943
MEM 2077.351562 1584630151.1037
MEM 2077.351562 1584630151.2131
MEM 2077.351562 1584630151.3224
MEM 2077.351562 1584630151.4317
MEM 2077.351562 1584630151.5411
MEM 2077.351562 1584630151.6504
MEM 2077.351562 1584630151.7598
MEM 2077.351562 1584630151.8691
MEM 2077.351562 1584630151.9785
MEM 2077.351562 1584630152.0878
MEM 2077.351562 1584630152.1972
MEM 2077.351562 1584630152.3065
MEM 2077.351562 1584630152.4159
MEM 2077.351562 1584630152.5252
MEM 2077.351562 1584630152.6346
MEM 2077.351562 1584630152.7439
MEM 2077.351562 1584630152.8533
MEM 2077.351562 1584630152.9626
MEM 2077.351562 1584630153.0720
MEM 2077.351562 1584630153.1813
MEM 2077.351562 1584630153.2907
MEM 2077.351562 1584630153.4000
MEM 2077.351562 1584630153.5094
MEM 2077.355469 1584630153.6187
MEM 2077.355469 1584630153.7281
MEM 2103.921875 1584630153.8374
MEM 2253.332031 1584630153.9468
MEM 2146.523438 1584630154.0561
MEM 2402.902344 1584630154.1655
MEM 2673.886719 1584630154.2748
MEM 2673.976562 1584630154.3842
MEM 2674.890625 1584630154.4949
MEM 2674.898438 1584630154.6042
MEM 2674.898438 1584630154.7147
MEM 2674.898438 1584630154.8241
MEM 2674.902344 1584630154.9334
MEM 2674.929688 1584630155.0428
MEM 2674.929688 1584630155.1521
MEM 2674.929688 1584630155.2615
MEM 2674.929688 1584630155.3708
MEM 2674.929688 1584630155.4802
MEM 2674.929688 1584630155.5895
MEM 2674.929688 1584630155.6989
MEM 2674.929688 1584630155.8082
MEM 2674.929688 1584630155.9176
MEM 2674.929688 1584630156.0269
MEM 2674.929688 1584630156.1363
MEM 2674.929688 1584630156.2456
MEM 2674.929688 1584630156.3550
MEM 2674.929688 1584630156.4643
MEM 2674.929688 1584630156.5737
MEM 2674.929688 1584630156.6830
MEM 2674.929688 1584630156.7924
MEM 2674.929688 1584630156.9031
MEM 2674.929688 1584630157.0135
MEM 2674.929688 1584630157.1229
MEM 2674.929688 1584630157.2322
MEM 2674.929688 1584630157.3416
MEM 2674.929688 1584630157.4509
MEM 2674.929688 1584630157.5603
MEM 2674.929688 1584630157.6696
MEM 2674.929688 1584630157.7790
MEM 2674.929688 1584630157.8883
MEM 2674.929688 1584630157.9977
MEM 2674.929688 1584630158.1070
MEM 2674.929688 1584630158.2164
MEM 2674.929688 1584630158.3257
MEM 2674.929688 1584630158.4351
MEM 2674.929688 1584630158.5444
MEM 2674.945312 1584630158.6538
MEM 2674.964844 1584630158.7631
MEM 2674.964844 1584630158.8725
MEM 2674.964844 1584630158.9818
MEM 2674.964844 1584630159.0912
MEM 2674.964844 1584630159.2005
MEM 2674.964844 1584630159.3099
MEM 2674.964844 1584630159.4192
MEM 2674.964844 1584630159.5298
MEM 2674.964844 1584630159.6392
MEM 2674.964844 1584630159.7496
MEM 2674.964844 1584630159.8589
MEM 2674.964844 1584630159.9683
MEM 2674.964844 1584630160.0776
MEM 2674.964844 1584630160.1870
MEM 2674.964844 1584630160.2963
MEM 2674.964844 1584630160.4057
MEM 2674.964844 1584630160.5150
MEM 2674.964844 1584630160.6244
MEM 2674.964844 1584630160.7337
MEM 2674.964844 1584630160.8431
MEM 2674.972656 1584630160.9524
MEM 2674.976562 1584630161.0618
MEM 2674.976562 1584630161.1711
MEM 2674.976562 1584630161.2805
MEM 2674.976562 1584630161.3898
MEM 2674.976562 1584630161.4992
MEM 2674.976562 1584630161.6085
MEM 2674.976562 1584630161.7179
MEM 2760.843750 1584630161.8272
MEM 3020.378906 1584630161.9366
MEM 3280.312500 1584630162.0459
MEM 3540.160156 1584630162.1553
MEM 3792.605469 1584630162.2646
